Date,hour,temp,windchill,humidity, precipitation, wind_speed
12/1/2015,0,43,38.2,93,0.01,8.1
12/1/2015,1,44.1,38.6,93,0.01,10.4
12/1/2015,2,44.1,40.1,93,0,6.9
12/1/2015,3,44.1,40.1,93,0.05,6.9
12/1/2015,4,45,39.3,93,0.01,11.5
12/1/2015,5,45,39.3,90,0,11.5
12/1/2015,6,44.1,37.7,89,0,12.7
12/1/2015,7,43,36.8,86,0,11.5
12/1/2015,8,42.1,33.1,76,0,20.7
12/1/2015,9,42.1,35.7,73,0,11.5
12/1/2015,10,41,33.1,67,0,15
12/1/2015,11,42.1,34.9,62,0,13.8
12/1/2015,12,44.1,37.1,58,0,15
12/1/2015,13,44.1,37.4,58,0,13.8
12/1/2015,14,44.1,37.4,58,0,13.8
12/1/2015,15,44.1,38.1,58,0,11.5
12/1/2015,16,42.1,36.6,60,0,9.2
12/1/2015,17,42.1,39.2,62,0,4.6
12/1/2015,18,41,35.2,67,0,9.2
12/1/2015,19,39.9,33.4,70,0,10.4
12/1/2015,20,39,32.8,73,0,9.2
12/1/2015,21,39.9,33.4,73,0,10.4
12/1/2015,22,39.9,33.4,73,0,10.4
12/1/2015,23,39,33.4,76,0,8.1
12/2/2015,0,39,34,76,0,6.9
12/2/2015,1,39,34.8,76,0,5.8
12/2/2015,2,39,34,76,0,6.9
12/2/2015,3,37.9,32.1,79,0,8.1
12/2/2015,4,35.1,28.6,82,0,8.1
12/2/2015,5,34,29.8,85,0.03,4.6
12/2/2015,6,34,29.8,85,0.01,4.6
12/2/2015,7,33.1,26.1,89,0.02,8.1
12/2/2015,8,33.1,26.1,89,0,8.1
12/2/2015,9,33.1,26.1,82,0,8.1
12/2/2015,10,33.8,26.4,81,0,9.2
12/2/2015,11,34,28,82,0,6.9
12/2/2015,12,35.1,30.1,76,0,5.8
12/2/2015,13,35.1,29.3,85,0,6.9
12/2/2015,14,37,31.6,70,0,6.9
12/2/2015,15,36,29,70,0,9.2
12/2/2015,16,35.1,25.9,76,0,13.8
12/2/2015,17,35.1,25.9,72,0,13.8
12/2/2015,18,35.1,26.9,67,0,11.5
12/2/2015,19,34,26.6,67,0,9.2
12/2/2015,20,33.1,25.5,72,0,9.2
12/2/2015,21,33.1,24.9,70,0,10.4
12/2/2015,22,33.1,24.4,70,0,11.5
12/2/2015,23,33.1,25.5,70,0,9.2
12/3/2015,0,32,23.6,75,0,10.4
12/3/2015,1,32,26.4,75,0,5.8
12/3/2015,2,32,24.8,75,0,8.1
12/3/2015,3,32,25.6,75,0,6.9
12/3/2015,4,32,24.8,79,0,8.1
12/3/2015,5,35.1,31,76,0,4.6
12/3/2015,6,35.1,29.3,78,0,6.9
12/3/2015,7,36,31.1,79,0,5.8
12/3/2015,8,37.4,30.8,70,0,9.2
12/3/2015,9,36,29.6,76,0,8.1
12/3/2015,10,36,29,76,0,9.2
12/3/2015,11,36,29,79,0,9.2
12/3/2015,12,36,28.5,79,0,10.4
12/3/2015,13,35.1,26.4,78,0,12.7
12/3/2015,14,35.1,26.4,78,0,12.7
