date,hour,temperature,windchill,humidity,precipitation,wind_speed,city
2016-02-01,0,39,34.8,89,0,5.8,Boston
2016-02-01,1,43,36.8,86,0,11.5,Boston
2016-02-01,2,45,38.5,80,0,13.8,Boston
2016-02-01,3,45,38.9,80,0,12.7,Boston
2016-02-01,4,45,37.9,80,0,16.1,Boston
2016-02-01,5,46,39.3,76,0,16.1,Boston
2016-02-01,6,46,39.3,76,0,16.1,Boston
2016-02-01,7,46.9,0,74,0,15,Boston
2016-02-01,8,48.9,0,69,0,15,Boston
2016-02-01,9,54,0,59,0,15,Boston
2016-02-01,10,59,0,49,0,16.1,Boston
2016-02-01,11,63,0,45,0,19.6,Boston
2016-02-01,12,64,0,43,0,15,Boston
2016-02-01,13,59,0,48,0,21.9,Boston
2016-02-01,14,57.9,0,41,0,16.1,Boston
2016-02-01,15,55,0,31,0,18.4,Boston
2016-02-01,16,53.1,0,37,0,15,Boston
2016-02-01,17,52,0,40,0,11.5,Boston
2016-02-01,18,50,0,43,0,9.2,Boston
2016-02-01,19,48.9,0,43,0,15,Boston
2016-02-01,20,46.9,0,42,0,15,Boston
2016-02-01,21,46,41.9,46,0,8.1,Boston
2016-02-01,22,45,40.6,46,0,8.1,Boston
2016-02-01,23,43,40.3,47,0,4.6,Boston
2016-02-02,0,42.1,37.7,47,0,6.9,Boston
2016-02-02,1,41,37.1,49,0,5.8,Boston
2016-02-02,2,39.9,35.1,53,0,6.9,Boston
2016-02-02,3,39.9,35.1,53,0,6.9,Boston
2016-02-02,4,39,34,55,0,6.9,Boston
2016-02-02,5,37.9,32.1,55,0,8.1,Boston
2016-02-02,6,37.9,32.1,55,0,8.1,Boston
2016-02-02,7,39,32.8,53,0,9.2,Boston
2016-02-02,8,42.1,36.6,49,0,9.2,Boston
2016-02-02,9,45,39.3,42,0,11.5,Boston
2016-02-02,10,46.9,0,39,0,11.5,Boston
2016-02-02,11,46.9,0,36,0,10.4,Boston
2016-02-02,12,48.9,0,35,0,0,Boston
2016-02-02,13,48.9,0,32,0,5.8,Boston
2016-02-02,14,48,0,36,0,6.9,Boston
2016-02-02,15,46,43.1,46,0,5.8,Boston
2016-02-02,16,42.1,38.4,60,0,5.8,Boston
2016-02-02,17,41,35.8,60,0,8.1,Boston
